repos,repo_version,option,option_count,category
mesosphere/dcos-commons,b'0.13.3,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.3,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.3,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.3,sed,1,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,curl,1,Dependencies
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,rm,2,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,tar,1,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,mv,1,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,go,2,Build/Execute
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,pip3,1,Dependencies
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,install,1,Build/Execute
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,mkdir,4,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,git,1,Dependencies
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,cd,2,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,cp,1,Filesystem
mesosphere/dcos-commons,b'HELLOWORLD_1.1.4,sed,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,curl,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,rm,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,tar,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,mv,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,go,2,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,pip3,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,install,1,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,mkdir,4,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,git,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,cd,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,cp,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.8-5.2.2,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.2.1,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.2.1,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.2.1,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.2.1,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.2.1,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.2.1,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.4,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.4,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.4,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.4,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.4,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.4,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.4,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.4,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.13.4,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.4,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.4,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.4,sed,1,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,curl,1,Dependencies
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,rm,2,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,tar,1,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,mv,1,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,go,2,Build/Execute
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,pip3,1,Dependencies
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,install,1,Build/Execute
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,mkdir,4,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,git,1,Dependencies
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,cd,2,Filesystem
