repos,repo_version,instructions,instructions_count
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,COPY,17
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,ENV,6
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,RUN,10
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,CMD,1
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,COPY,17
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,ENV,6
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,RUN,10
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.29-3.0.13beta,CMD,1
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,COPY,17
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,ENV,6
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,RUN,10
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.11-5.4.0-beta,CMD,1
mesosphere/dcos-commons,b'0.18.0,FROM,1
mesosphere/dcos-commons,b'0.18.0,COPY,17
mesosphere/dcos-commons,b'0.18.0,ENV,6
mesosphere/dcos-commons,b'0.18.0,RUN,10
mesosphere/dcos-commons,b'0.18.0,FROM,1
mesosphere/dcos-commons,b'0.18.0,CMD,1
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,COPY,17
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,ENV,6
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,RUN,10
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.13-5.4.1-beta,CMD,1
mesosphere/dcos-commons,b'0.19.0,FROM,1
mesosphere/dcos-commons,b'0.19.0,COPY,17
mesosphere/dcos-commons,b'0.19.0,ENV,6
mesosphere/dcos-commons,b'0.19.0,RUN,10
mesosphere/dcos-commons,b'0.19.0,FROM,1
mesosphere/dcos-commons,b'0.19.0,CMD,1
mesosphere/dcos-commons,b'0.19.1,FROM,1
mesosphere/dcos-commons,b'0.19.1,COPY,17
mesosphere/dcos-commons,b'0.19.1,ENV,6
mesosphere/dcos-commons,b'0.19.1,RUN,10
mesosphere/dcos-commons,b'0.19.1,FROM,1
mesosphere/dcos-commons,b'0.19.1,CMD,1
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,COPY,17
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,ENV,6
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,RUN,10
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.30-3.0.13-beta,CMD,1
mesosphere/dcos-commons,b'0.19.2,FROM,1
mesosphere/dcos-commons,b'0.19.2,COPY,17
mesosphere/dcos-commons,b'0.19.2,ENV,6
mesosphere/dcos-commons,b'0.19.2,RUN,10
mesosphere/dcos-commons,b'0.19.2,FROM,1
mesosphere/dcos-commons,b'0.19.2,CMD,1
mesosphere/dcos-commons,b'0.19.3,FROM,1
mesosphere/dcos-commons,b'0.19.3,COPY,17
mesosphere/dcos-commons,b'0.19.3,ENV,6
mesosphere/dcos-commons,b'0.19.3,RUN,10
mesosphere/dcos-commons,b'0.19.3,FROM,1
mesosphere/dcos-commons,b'0.19.3,CMD,1
mesosphere/dcos-commons,b'0.19.3.1,FROM,1
mesosphere/dcos-commons,b'0.19.3.1,COPY,17
mesosphere/dcos-commons,b'0.19.3.1,ENV,6
mesosphere/dcos-commons,b'0.19.3.1,RUN,10
mesosphere/dcos-commons,b'0.19.3.1,FROM,1
mesosphere/dcos-commons,b'0.19.3.1,CMD,1
mesosphere/dcos-commons,b'before_default_executor,FROM,1
mesosphere/dcos-commons,b'before_default_executor,COPY,17
mesosphere/dcos-commons,b'before_default_executor,ENV,6
mesosphere/dcos-commons,b'before_default_executor,RUN,10
mesosphere/dcos-commons,b'before_default_executor,FROM,1
mesosphere/dcos-commons,b'before_default_executor,CMD,1
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,COPY,17
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,ENV,6
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,RUN,10
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.14-5.4.1-beta,CMD,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,COPY,17
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,ENV,6
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,RUN,10
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1-beta,CMD,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,FROM,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,COPY,17
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,ENV,6
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,RUN,10
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,FROM,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.0,CMD,1
mesosphere/dcos-commons,b'0.20.0,FROM,1
mesosphere/dcos-commons,b'0.20.0,COPY,17
mesosphere/dcos-commons,b'0.20.0,ENV,6
mesosphere/dcos-commons,b'0.20.0,RUN,10
mesosphere/dcos-commons,b'0.20.0,FROM,1
mesosphere/dcos-commons,b'0.20.0,CMD,1
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,COPY,17
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,ENV,6
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,RUN,10
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.15-5.5.1-beta,CMD,1
mesosphere/dcos-commons,b'0.20.1,FROM,1
mesosphere/dcos-commons,b'0.20.1,COPY,17
mesosphere/dcos-commons,b'0.20.1,ENV,6
mesosphere/dcos-commons,b'0.20.1,RUN,10
mesosphere/dcos-commons,b'0.20.1,FROM,1
mesosphere/dcos-commons,b'0.20.1,CMD,1
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,COPY,17
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,ENV,6
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,RUN,10
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.31-3.0.13-beta,CMD,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,COPY,17
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,ENV,6
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,RUN,10
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.11.0-beta,CMD,1
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,COPY,17
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,ENV,6
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,RUN,10
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.26-0.10.1.0-beta,CMD,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,FROM,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,COPY,17
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,ENV,6
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,RUN,10
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,FROM,1
mesosphere/dcos-commons,b'hello-world-1.3.0-0.20.1,CMD,1
mesosphere/dcos-commons,b'0.20.1.1,FROM,1
mesosphere/dcos-commons,b'0.20.1.1,COPY,17
mesosphere/dcos-commons,b'0.20.1.1,ENV,6
mesosphere/dcos-commons,b'0.20.1.1,RUN,10
mesosphere/dcos-commons,b'0.20.1.1,FROM,1
mesosphere/dcos-commons,b'0.20.1.1,CMD,1
mesosphere/dcos-commons,b'0.30.0,FROM,1
mesosphere/dcos-commons,b'0.30.0,COPY,17
mesosphere/dcos-commons,b'0.30.0,ENV,6
mesosphere/dcos-commons,b'0.30.0,RUN,10
mesosphere/dcos-commons,b'0.30.0,FROM,1
mesosphere/dcos-commons,b'0.30.0,CMD,1
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,COPY,17
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,ENV,6
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,RUN,10
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,FROM,1
mesosphere/dcos-commons,b'cassandra-1.0.32-3.0.14-beta,CMD,1
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,COPY,17
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,ENV,6
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,RUN,10
